Address,District,Beds,Baths,Longitudes,Latitudes,Price,Size,Website,Distance,Type
5562 Hobart Street near Wightman Street,Squirrel Hill,2,1,-79.928198,40.432265,1290,912,https://pittsburgh.craigslist.org/apa/d/pittsburgh-avail-january-4-heat/7018577441.html,1.7332121,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924496,40.428411,890,385,https://pittsburgh.craigslist.org/apa/d/pittsburgh-short-term-lease-heat-incld/7018633377.html,2.152850913,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,825,400,https://pittsburgh.craigslist.org/apa/d/pittsburgh-walk-to-bus-laundry-on-site/7021211168.html,2.562237493,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,825,400,https://pittsburgh.craigslist.org/apa/d/pittsburgh-off-street-parking-fees/7016269137.html,2.562237493,Apartment
2123 Shady Ave - B11,Squirrel Hill,2,2,-79.918428,40.434289,1650,1000,https://pittsburgh.craigslist.org/apa/d/pittsburgh-central-c-designer-paint/7016385950.html,2.816193996,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,925,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pet-friendly-pet-fees-apply/7021402820.html,2.562237493,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,925,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pet-friendly-pet-fees-apply/7019950785.html,2.562237493,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,925,500,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pet-friendly-pet-fees-apply/7018671328.html,2.562237493,Apartment
Hobart St near Wightman St,Squirrel Hill,2,1,-79.925001,40.432739,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-now-updated-kitchen-hw/7030980404.html,2.086961286,Apartment
Hobart St near Murray Ave,Squirrel Hill,2,1,-79.925151,40.432788,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-br-1ba-on-bus-line/7030951082.html,2.070199774,Apartment
5533 Covode Street near Yeshiva Way,Squirrel Hill,1,1,-79.929003,40.431705,1015,595,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-heat/7018147785.html,1.645526912,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924518,40.428272,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pet-friendly-ac-hardwood/7020043333.html,2.150785263,Apartment
5533 Covode Street near Yeshiva Way,Squirrel Hill,1,1,-79.928597,40.431814,910,720,https://pittsburgh.craigslist.org/apa/d/pittsburgh-avail-now-or-january-4-ac/7029077606.html,1.690158618,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924378,40.428533,950,570,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-shopping/7020041535.html,2.165588793,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928627,40.432086,1090,742,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-pet/7020042721.html,1.686141227,Apartment
